127.0.0.1 - - [25/Mar/2023:13:43:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:03 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:07 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:09 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:10 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:27 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:29 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:31 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:32 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:32 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:43:34 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:41 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:44 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:45 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:47 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:48 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:49 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:50 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:50 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:51 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:52 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:53 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:53 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:54 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:45:56 +0530] "GET /multiplayerjsp/RemoveSong.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:46:46 +0530] "GET /multiplayerjsp/NavBar.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:46:55 +0530] "GET /multiplayerjsp/NavBar.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:47:19 +0530] "GET /multiplayerjsp/NavBar.jsp HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:48:18 +0530] "GET /multiplayerjsp/NavBar.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:50:45 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:50:52 +0530] "GET /multiplayerjsp/RemoveSong.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:50:55 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:50:56 +0530] "GET /multiplayerjsp/UpdateSong.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:24 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:25 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:26 +0530] "GET /multiplayerjsp/RemoveSong.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:27 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:27 +0530] "GET /multiplayerjsp/UpdateSong.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:28 +0530] "GET /multiplayerjsp/MusicPlayer.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:51:30 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:58:10 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:58:15 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:58:18 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:58:20 +0530] "GET /multiplayerjsp/AddSong.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [25/Mar/2023:13:58:21 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [25/Mar/2023:14:20:44 +0530] "GET /multiplayerjsp/SearchSong.jsp HTTP/1.1" 200 869
